"ID","ClassID","SubclassID","Sound_Override_Subclassid","Material","DisplayInfoID","InventoryType","SheatheType"
"110000","2","10","-1","2","31870","17","2"
"110001","2","4","-1","1","45798","13","3"
"110002","2","2","-1","2","43834","15","0"
"110003","4","6","-1","1","64073","14","4"
"110004","2","7","-1","1","16132","13","3"
"110010","2","10","-1","2","31870","17","2"
"110011","2","4","-1","1","45798","13","3"
"110012","2","2","-1","2","43834","15","0"
"110013","4","6","-1","1","64073","14","4"
"110014","2","7","-1","1","16132","13","3"
"109999","7","11","-1","4","13124","0","0"
